Algorithm,Fuel Price Variance (%),Feasible (%),Mean Cost,Cost Gap vs Best (%),Mean Runtime (ms),Runtime Std (ms),Mean Expanded States
State-Expanded Dijkstra,0.0,100.0,3528.0,0.0,33.2,1.24,3511.0
State-Expanded Dijkstra,5.0,100.0,3400.2,0.0,116.74,1.15,3539.0
State-Expanded Dijkstra,10.0,100.0,3214.11,0.0,121.01,1.88,3575.0
State-Expanded Dijkstra,15.0,100.0,2895.16,0.0,124.24,2.1,3547.0
State-Expanded Dijkstra,20.0,100.0,2576.21,0.0,125.5,1.38,3527.0
Dynamic Programming,0.0,100.0,3528.0,0.0,32.79,0.75,3511.0
Dynamic Programming,5.0,100.0,3400.2,0.0,116.72,1.45,3539.0
Dynamic Programming,10.0,100.0,3214.11,0.0,120.62,1.96,3575.0
Dynamic Programming,15.0,100.0,2895.16,0.0,123.55,1.32,3547.0
Dynamic Programming,20.0,100.0,2576.21,0.0,125.14,1.14,3527.0
Greedy Refuel,0.0,0.0,,,100.31,3.61,16000.0
Greedy Refuel,5.0,0.0,,,81.22,0.45,16000.0
Greedy Refuel,10.0,0.0,,,80.5,0.35,16000.0
Greedy Refuel,15.0,0.0,,,80.77,0.49,16000.0
Greedy Refuel,20.0,0.0,,,80.63,0.73,16000.0
Standard A*,0.0,100.0,3528.0,0.0,18.01,0.29,1331.0
Standard A*,5.0,100.0,3444.64,1.31,606.8,5.07,26036.0
Standard A*,10.0,100.0,3295.18,2.52,467.26,5.64,18507.0
Standard A*,15.0,100.0,2978.45,2.88,375.67,3.29,14467.0
Standard A*,20.0,100.0,2654.87,3.05,297.62,3.34,10809.0
RF-A*,0.0,100.0,3528.0,0.0,17.9,0.24,1331.0
RF-A*,5.0,100.0,3444.64,1.31,608.54,4.02,26036.0
RF-A*,10.0,100.0,3295.18,2.52,474.96,5.81,18507.0
RF-A*,15.0,100.0,2978.45,2.88,376.6,4.92,14467.0
RF-A*,20.0,100.0,2654.87,3.05,298.84,1.32,10809.0
PF-A*,0.0,100.0,3528.0,0.0,20.44,1.86,1369.0
PF-A*,5.0,100.0,3400.2,0.0,61.76,3.55,2129.0
PF-A*,10.0,100.0,3214.11,0.0,59.9,0.79,2115.0
PF-A*,15.0,100.0,2895.16,0.0,55.94,0.41,2125.0
PF-A*,20.0,100.0,2576.21,0.0,63.56,0.5,2428.0
